Easting,Northing,Lat,Long,Severity_of_casualty,Casualty_Class,Sex,Age,Date,Day,Hour,Local_authority,Vehicle_type,Pedestrian_Locality
531170,176930,51.47613279,-0.112620746,Serious,Driver_or_rider,Male,32,24/04/2014,Thursday,8,Lambeth,Motorcycle_50cc_and_under,Not_a_pedestrian
530190,177820,51.48435718,-0.126396578,Serious,Passenger,Female,21,26/04/2014,Saturday,0,Lambeth,Car,Not_a_pedestrian
531230,178440,51.48968884,-0.111196941,Serious,Driver_or_rider,Male,51,25/04/2014,Friday,13,Lambeth,Pedal_cycle,Not_a_pedestrian
531120,179420,51.49852137,-0.11241656,Serious,Driver_or_rider,Male,41,08/04/2014,Tuesday,11,Lambeth,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
529620,175390,51.46264995,-0.135491017,Serious,Driver_or_rider,Male,25,02/05/2014,Friday,9,Lambeth,Pedal_cycle,Not_a_pedestrian
531750,176500,51.47213385,-0.104434101,Serious,Driver_or_rider,Male,18,07/05/2014,Wednesday,14,Lambeth,M/cycle_over_50_and_up_to_125cc_(from_1999),Not_a_pedestrian
530190,172090,51.43286245,-0.128503192,Serious,Driver_or_rider,Male,23,07/05/2014,Wednesday,1,Lambeth,Car,Not_a_pedestrian
531450,174960,51.45836389,-0.109322995,Serious,Driver_or_rider,Male,27,12/05/2014,Monday,0,Lambeth,Pedal_cycle,Not_a_pedestrian
532840,170880,51.4213736,-0.090857109,Serious,Driver_or_rider,Male,58,13/05/2014,Tuesday,16,Croydon,Motorcycle_over_500cc,Not_a_pedestrian
530640,178050,51.48632048,-0.119834404,Serious,Driver_or_rider,Male,56,18/05/2014,Sunday,11,Lambeth,Pedal_cycle,Not_a_pedestrian
530840,179640,51.50056328,-0.116366479,Serious,Driver_or_rider,Male,51,07/05/2014,Wednesday,7,Lambeth,Motorcycle_over_500cc,Not_a_pedestrian
531320,173460,51.44491376,-0.111749303,Serious,Driver_or_rider,Male,47,17/05/2014,Saturday,9,Lambeth,Pedal_cycle,Not_a_pedestrian
530780,179410,51.49851018,-0.11731563,Serious,Driver_or_rider,Male,34,29/05/2014,Thursday,18,Lambeth,Pedal_cycle,Not_a_pedestrian
529740,176610,51.47358643,-0.133317483,Serious,Driver_or_rider,Male,33,28/05/2014,Wednesday,23,Lambeth,Pedal_cycle,Not_a_pedestrian
530020,171490,51.42750933,-0.131167314,Serious,Pedestrian,Male,47,29/05/2014,Thursday,18,Lambeth,Motorcycle_over_500cc,Crossing_elsewhere_within_50m._of_ped_crossing
531800,174370,51.45298033,-0.104507808,Serious,Driver_or_rider,Male,57,29/05/2014,Thursday,7,Lambeth,Pedal_cycle,Not_a_pedestrian
